X,a - Copy.txt,X,a.txt,X,cdtest.txt,X,cdtestBL.txt
212,-0.024292009,212,-0.018433607,212,-0.044957691,212,0
211.8,-0.02497734,211.8,-0.018981872,211.8,-0.045456266,211.8,0
211.6,-0.025544768,211.6,-0.019435814,211.6,-0.046191393,211.6,0
211.4,-0.026122076,211.4,-0.01989766,211.4,-0.046959631,211.4,0
211.2,-0.026293138,211.2,-0.02003451,211.2,-0.047251581,211.2,0
211,-0.02697947,211,-0.020583576,211,-0.047793455,211,0
210.8,-0.027811849,210.8,-0.021249479,210.8,-0.04810196,210.8,0
210.6,-0.027953518,210.6,-0.021362815,210.6,-0.048445486,210.6,0
210.4,-0.028218054,210.4,-0.021574443,210.4,-0.048445168,210.4,0
210.2,-0.028202961,210.2,-0.021562369,210.2,-0.049402521,210.2,0
210,-0.02835572,210,-0.021684576,210,-0.049673139,210,0
209.8,-0.029162459,209.8,-0.022329967,209.8,-0.050119182,209.8,0
209.6,-0.030091731,209.6,-0.023073384,209.6,-0.050925625,209.6,0
209.4,-0.030477548,209.4,-0.023382038,209.4,-0.051329006,209.4,0
209.2,-0.03120503,209.2,-0.023964024,209.2,-0.052641983,209.2,0
209,-0.031641336,209,-0.024313069,209,-0.053382204,209,0
208.8,-0.032022275,208.8,-0.02461782,208.8,-0.054324912,208.8,0
208.6,-0.033030052,208.6,-0.025424042,208.6,-0.054181962,208.6,0
208.4,-0.033400277,208.4,-0.025720221,208.4,-0.053769985,208.4,0
208.2,-0.034453248,208.2,-0.026562598,208.2,-0.053370743,208.2,0
208,-0.035296425,208,-0.02723714,208,-0.053365012,208,0
207.8,-0.035935062,207.8,-0.02774805,207.8,-0.053523881,207.8,0
207.6,-0.036869628,207.6,-0.028495703,207.6,-0.052758508,207.6,0
207.4,-0.037796523,207.4,-0.029237219,207.4,-0.051588481,207.4,0
207.2,-0.03915593,207.2,-0.030324744,207.2,-0.050270728,207.2,0
207,-0.039682499,207,-0.030745999,207,-0.048516165,207,0
206.8,-0.041050912,206.8,-0.031840729,206.8,-0.048658479,206.8,0
206.6,-0.041747375,206.6,-0.0323979,206.6,-0.048826262,206.6,0
206.4,-0.04202546,206.4,-0.032620368,206.4,-0.048786784,206.4,0
206.2,-0.042647087,206.2,-0.03311767,206.2,-0.048662618,206.2,0
206,-0.042926006,206,-0.033340805,206,-0.047485905,206,0
205.8,-0.043351264,205.8,-0.033681011,205.8,-0.045310769,205.8,0
205.6,-0.044589514,205.6,-0.034671611,205.6,-0.044839893,205.6,0
205.4,-0.045600543,205.4,-0.035480434,205.4,-0.043557798,205.4,0
205.2,-0.046735397,205.2,-0.036388318,205.2,-0.041442198,205.2,0
205,-0.047683472,205,-0.037146777,205,-0.040602007,205,0
204.8,-0.048369721,204.8,-0.037695777,204.8,-0.038985619,204.8,0
204.6,-0.048800398,204.6,-0.038040319,204.6,-0.037125037,204.6,0
204.4,-0.049213982,204.4,-0.038371186,204.4,-0.038107223,204.4,0
204.2,-0.050141211,204.2,-0.039112968,204.2,-0.035312211,204.2,0
204,-0.050124117,204,-0.039099293,204,-0.031904647,204,0
203.8,-0.051223116,203.8,-0.039978493,203.8,-0.032575144,203.8,0
