X,cdtest.txt,X,cdtestBL.txt,X,combination
254.6,-2.0566676773802302e-06,254.6,-9.348489993935719e-08,,
254.8,-2.181876895087932e-06,254.8,-9.917622801697999e-08,,
255.0,-2.2616919345057613e-06,255.0,-1.0280418435415404e-07,,
255.2,-2.759942389326865e-06,255.2,-1.2545194057004245e-07,,
255.4,-2.5982777440873256e-06,255.4,-1.1810354760460886e-07,,
255.6,-2.890357792601577e-06,255.6,-1.3137989690721651e-07,,
255.8,-3.0686476652516676e-06,255.8,-1.394839902971498e-07,,
256.0,-2.779020618556701e-06,256.0,-1.2631913280776229e-07,,
256.2,-1.8992268041237113e-06,256.2,-8.632850212249849e-08,,
256.4,-3.023502122498484e-06,256.4,-1.374319284414797e-07,,
256.6,-3.3785627653123104e-06,256.6,-1.5357104305639783e-07,,
256.8,-3.01267131594906e-06,256.8,-1.3693959975742875e-07,,
257.0,-3.3087022437841115e-06,257.0,-1.5039554275318373e-07,,
257.2,-1.67086719223772e-06,257.2,-7.594851425106125e-08,,
257.4,-7.397725894481505e-07,257.4,-3.3626015767131596e-08,,
257.6,-9.941722255912674e-07,257.6,-4.5189660400242576e-08,,
257.8,-1.4264251061249243e-06,257.8,-6.483750758035173e-08,,
258.0,-1.9055033353547604e-06,258.0,-8.661379624014555e-08,,
258.2,-1.7018859915100062e-06,258.2,-7.735845967252882e-08,,
258.4,-1.6368314129775622e-06,258.4,-7.440142510612492e-08,,
258.6,-2.0943238326258337e-06,258.6,-9.519654335961189e-08,,
258.8,-1.916682838083687e-06,258.8,-8.712195269860522e-08,,
259.0,-2.5617798665858095e-06,259.0,-1.1644454214675562e-07,,
259.2,-3.1291995148574893e-06,259.2,-1.4223635536688903e-07,,
259.4,-2.1751243177683446e-06,259.4,-9.886928441479685e-08,,
259.6,-2.6271103699211645e-06,259.6,-1.1941409945421467e-07,,
259.8,-3.583171619163129e-06,259.8,-1.628714372346877e-07,,
260.0,-3.4417525773195877e-06,260.0,-1.5644329896907217e-07,,
